##>>//文字|颜色|显示时长；（颜色：0：白（默认），1红，2橙，3黄，4绿，5青，6蓝，7紫....）
112:鼠标左键单击了完成车号按钮！|1|5;
113:鼠标左键单击了完成综控按钮！|1|5;
114:鼠标左键单击了完成站务按钮！|1|5;
115:鼠标左键单击了取消交令按钮！|1|5;
116:鼠标左键单击了取消列检按钮！|1|5;
117:鼠标左键单击了取消上水按钮！|1|5;
118:鼠标左键单击了取消吸污按钮！|1|5;
119:鼠标左键单击了取消交票按钮！|1|5;
120:鼠标左键单击了取消乘降按钮！|1|5;
121:鼠标左键单击了取消摘挂按钮！|1|5;
122:鼠标左键单击了取消列尾按钮！|1|5;
123:鼠标左键单击了取消货检按钮！|1|5;
124:鼠标左键单击了取消换乘按钮！|1|5;
125:鼠标左键单击了取消装卸按钮！|1|5;
126:鼠标左键单击了取消机车按钮！|1|5;
127:鼠标左键单击了取消道口按钮！|1|5;
128:鼠标左键单击了取消车号按钮！|1|5;
129:鼠标左键单击了取消综控按钮！|1|5;
130:鼠标左键单击了取消站务按钮！|1|5;
131:鼠标左键单击了取消安排交令按钮！|1|5;
132:鼠标左键单击了取消安排列检按钮！|1|5;
133:鼠标左键单击了取消安排上水按钮！|1|5;
134:鼠标左键单击了取消安排吸污按钮！|1|5;
135:鼠标左键单击了取消安排交票按钮！|1|5;
136:鼠标左键单击了取消安排乘降按钮！|1|5;
137:鼠标左键单击了取消安排摘挂按钮！|1|5;
138:鼠标左键单击了取消安排列尾按钮！|1|5;
139:鼠标左键单击了取消安排货检按钮！|1|5;
140:鼠标左键单击了取消安排换乘按钮！|1|5;
141:鼠标左键单击了取消安排装卸按钮！|1|5;
142:鼠标左键单击了取消安排机车按钮！|1|5;
143:鼠标左键单击了取消安排道口按钮！|1|5;
144:鼠标左键单击了取消安排车号按钮！|1|5;
145:鼠标左键单击了取消安排综控按钮！|1|5;
146:鼠标左键单击了取消安排站务按钮！|1|5;
147:鼠标左键单击了办理接车按钮！|1|5;
148:鼠标左键单击了取消接车按钮！|1|5;
149:鼠标左键单击了办理通过按钮！|1|5;
150:鼠标左键选择了分段办理选项！|1|5;
151:鼠标左键点击了修改进路按钮！|1|5;
152:鼠标左键点击了强制执行按钮！|1|5;
153:鼠标左键点击了进路单锁按钮！|1|5;
154:鼠标右键点击了设置自触！|1|5;
155:鼠标右键点击了取消自触！|1|5;
156:鼠标左键点击了刷新按钮！|1|5;
157:鼠标左键点击了新建按钮！|1|5;
158:鼠标左键点击了备忘按钮！|1|5;
159:鼠标左键点击了结束按钮！|1|5;
160:鼠标左键点击了得知按钮！|1|5;
161:鼠标左键点击了执行按钮！|1|5;
162:鼠标左键点击了登录按钮！|1|5;
163:鼠标左键点击了注销按钮！|1|5;
164:鼠标左键点击了设置站存车！|1|5;
165:鼠标左键点击了移至按钮！|1|5;
166:鼠标左键点击了防溜设置按钮！|1|5;
167:鼠标左键点击了查找列车按钮！|1|5;
168:鼠标左键点击了修改股道按钮！|1|5;
169:鼠标左键单击了办理发车按钮！|1|5;
170:鼠标左键单击了取消发车按钮！|1|5;
171:鼠标左键选择了单机开行！|1|5;
172:鼠标左键单击了修改股道！|1|5;
####
